Entity,Code,year,Day,Training_computation_petaflop,Domain
M6-T,,2021,05-03-2021,NA,Multimodal
MADALINE I,,1962,01-07-1962,NA,Other
MADALINE III,,1990,01-09-1990,NA,Other
MCDNN (MNIST),,2012,13-02-2012,3.73,Vision
MEB,,2021,04-09-2021,NA,Search
MS-CNN,,2016,17-09-2016,NA,Vision
"MSRA (C, PReLU)",,2015,09-01-2015,24000,Vision
MV-RNN,,2012,12-07-2012,NA,Language
Make-A-Video,,2022,29-09-2022,NA,Text-to-Video
Mask R-CNN,,2017,30-03-2017,NA,Vision
Maxout Networks ,,2013,18-02-2013,NA,Vision
Meta Pseudo Labels,,2021,01-03-2021,212000000,Vision
MetaLM,,2022,13-06-2022,NA,Multimodal
Minerva (540B),,2022,29-06-2022,2740000000,Language
Mitosis,,2013,22-09-2013,137,Vision
MnasNet-A1 + SSDLite,,2019,29-05-2019,1500000,Vision
MnasNet-A3,,2019,29-05-2019,1500000,Vision
MoCo,,2019,13-11-2019,NA,Drawing
MobileNet,,2017,17-04-2017,NA,Vision
MobileNetV2,,2018,18-06-2018,NA,Vision
MuZero,,2019,19-11-2019,48000,Games
Multiresolution CNN,,2014,23-06-2014,NA,Video
NASNet-A,,2017,21-07-2017,NA,Vision
NASv3 (CIFAR-10),,2016,05-11-2016,2200000,Vision
NLLB,,2022,06-07-2022,17500000,Language
NLP from scratch,,2011,08-11-2011,NA,Language
NPLM,,2003,15-03-2003,1.3,Language
NTM,,2014,10-12-2014,NA,Other
Naive Bayes,,1974,01-09-1974,NA,Vision
Named Entity Recognition model,,2016,21-07-2016,96.9,Language
Neocognitron,,1980,01-04-1980,2.28E-07,Vision
NetTalk,,1987,06-06-1987,0.0000812,Speech
Network in Network,,2013,16-12-2013,NA,Other
NeuMF (Pinterest),,2017,16-08-2017,NA,Recommendation
NoisyNet-Dueling,,2017,30-06-2017,NA,Games
NÜWA,,2021,24-11-2021,4840000,Multimodal
ObjectNet,,2019,06-09-2019,19400,Vision
OpenAI Five,,2019,13-12-2019,67000000,Games
OpenAI Five Rerun,,2019,13-12-2019,13000000,Games
OpenAI TI7 DOTA 1v1,,2017,11-08-2017,605000,Games
PLUG,,2021,19-04-2021,36000000,Language
PNAS-net,,2017,02-12-2017,NA,Vision
PNASNet-5,,2017,02-12-2017,66300,Other
PaLM (540B),,2022,04-04-2022,2530000000,Language
Pandemonium (morse),,1959,01-02-1959,6.00E-07,Other
Part-of-sentence tagging model,,2016,21-07-2016,145,Language
Parti,,2022,22-06-2022,396000000,Drawing
Pattern recognition and reading by machine,,1959,01-12-1959,NA,Vision
Perceptron Mark I,,1957,01-01-1957,6.95E-10,Vision
Phrase-based translation,,2003,01-05-2003,NA,Language
Player of Games,,2021,06-12-2021,NA,Games
PointNet,,2016,02-12-2016,NA,Other
PointNet++,,2017,07-06-2017,NA,Other
PreTrans-3L-250H,,2013,22-03-2013,NA,Speech
Punish/Reward,,1970,01-09-1970,NA,Other
Q-learning,,1989,01-01-1989,NA,Other
R-CNN (T-net),,2013,11-11-2013,NA,Vision
R-FCN,,2016,21-06-2016,61.5,Vision
RNN 500/10 + RT09 LM (NIST RT05),,2010,26-09-2010,3.41,Speech
RNNsearch-50*,,2014,01-09-2014,1560,Language
Random Decision Forests,,1995,14-08-1995,NA,Other
Rational DQN Average,,2021,18-02-2021,NA,Games
ReLU (LFW),,2010,15-06-2010,NA,Vision
ReLU (NORB),,2010,15-06-2010,NA,Vision
RefineNet,,2016,20-11-2016,NA,Vision
Refined Part Pooling,,2018,09-01-2018,NA,Vision
ResNeXt-50,,2016,16-11-2016,NA,Vision
ResNet-110 (CIFAR-10),,2015,10-12-2015,NA,Vision
