Entity,Code,year,Day,Training_computation_petaflop,Researcher_affiliation
Kohonen network,,1981,25-07-1981,NA,Academia
LDA,,2003,02-02-2003,NA,Academia
LMS,,1960,30-06-1960,NA,Academia
LRCN,,2014,07-11-2014,NA,Academia
LSTM,,1997,15-11-1997,0.021,Academia
LSTM with forget gates,,1999,02-01-1999,NA,Academia
LaMDA,,2022,10-02-2022,355000000,Industry
LeNet-5,,1998,01-11-1998,0.00281,"Collaboration, Industry-leaning"
Libratus,,2017,01-01-2017,1150000,Academia
M6-T,,2021,05-03-2021,NA,Industry
MADALINE I,,1962,01-07-1962,NA,Academia
MADALINE III,,1990,01-09-1990,NA,Academia
MCDNN (MNIST),,2012,13-02-2012,3.73,Academia
MEB,,2021,04-09-2021,NA,Industry
MS-CNN,,2016,17-09-2016,NA,Collaboration
"MSRA (C, PReLU)",,2015,09-01-2015,24000,Industry
MV-RNN,,2012,12-07-2012,NA,Academia
Make-A-Video,,2022,29-09-2022,NA,Industry
Mask R-CNN,,2017,30-03-2017,NA,Industry
Maxout Networks ,,2013,18-02-2013,NA,Academia
Meta Pseudo Labels,,2021,01-03-2021,212000000,Industry
MetaLM,,2022,13-06-2022,NA,Industry
Minerva (540B),,2022,29-06-2022,2740000000,Industry
Mitosis,,2013,22-09-2013,137,Academia
MnasNet-A1 + SSDLite,,2019,29-05-2019,1500000,Industry
MnasNet-A3,,2019,29-05-2019,1500000,Industry
MoCo,,2019,13-11-2019,NA,Industry
MobileNet,,2017,17-04-2017,NA,Industry
MobileNetV2,,2018,18-06-2018,NA,Industry
MuZero,,2019,19-11-2019,48000,Industry
Multiresolution CNN,,2014,23-06-2014,NA,Collaboration
NASNet-A,,2017,21-07-2017,NA,Industry
NASv3 (CIFAR-10),,2016,05-11-2016,2200000,Industry
NLLB,,2022,06-07-2022,17500000,Industry
NLP from scratch,,2011,08-11-2011,NA,Collaboration
NPLM,,2003,15-03-2003,1.3,Academia
NTM,,2014,10-12-2014,NA,Industry
Naive Bayes,,1974,01-09-1974,NA,Industry
Named Entity Recognition model,,2016,21-07-2016,96.9,Academia
Neocognitron,,1980,01-04-1980,2.28E-07,Industry
NetTalk,,1987,06-06-1987,0.0000812,Academia
Network in Network,,2013,16-12-2013,NA,Academia
NeuMF (Pinterest),,2017,16-08-2017,NA,Academia
NoisyNet-Dueling,,2017,30-06-2017,NA,Industry
NÜWA,,2021,24-11-2021,4840000,Industry
ObjectNet,,2019,06-09-2019,19400,Academia
OpenAI Five,,2019,13-12-2019,67000000,Industry
OpenAI Five Rerun,,2019,13-12-2019,13000000,Industry
OpenAI TI7 DOTA 1v1,,2017,11-08-2017,605000,Industry
PLUG,,2021,19-04-2021,36000000,Industry
PNAS-net,,2017,02-12-2017,NA,"Collaboration, Industry-leaning"
PNASNet-5,,2017,02-12-2017,66300,"Collaboration, Industry-leaning"
PaLM (540B),,2022,04-04-2022,2530000000,Industry
Pandemonium (morse),,1959,01-02-1959,6.00E-07,Academia
